,Compound,xBi(Me1Me2)O3,xPT,Tolerance_Factor,Ionic_Displacements,Ferroelectric_Tc_in_Kelvin
86,Bi(ZnW)O3-PT,0.14900000000000002,0.851,1.01411621138074,0.08832833500000001,788.316
87,Bi(ZnW)O3-PT,0.19899999999999995,0.801,1.0097244323731278,0.092524085,802.981
88,Bi(MgW)O3-PT,0.44899999999999995,0.551,0.990866833596606,0.07357775500000001,515.5699999999999
89,Bi(MgW)O3-PT,0.399,0.601,0.9949132566730892,0.07382800500000002,517.701
90,Bi(MgW)O3-PT,0.349,0.651,0.9989596797495722,0.07407825500000001,518.71
91,Bi(MgW)O3-PT,0.30000000000000004,0.7,1.0029251743645258,0.07432350000000001,563.4649999999999
92,Bi(MgW)O3-PT,0.25,0.75,1.0069715974410087,0.07457375000000001,635.148
93,Bi(MgW)O3-PT,0.20099999999999996,0.799,1.0109370920559622,0.07481899500000001,670.091
94,Bi(MgW)O3-PT,0.17300000000000004,0.827,1.0132030889787929,0.07495913500000001,689.408
95,Bi(MgW)O3-PT,0.15200000000000002,0.848,1.0149025866709156,0.07506424,703.781
96,Bi(MgW)O3-PT,0.129,0.871,1.016763941286098,0.075179355,719.825
97,Bi(MgW)O3-PT,0.09899999999999998,0.901,1.0191917951319878,0.07532950500000002,742.9639999999999
98,Bi(MgW)O3-PT,0.049000000000000044,0.951,1.023238218208471,0.07557975500000001,756.015
99,Bi(ScIn)O3-PT,0.55,0.44999999999999996,0.9624634997230032,0.07743925000000002,652.0
100,Bi(ScIn)O3-PT,0.53,0.47,0.9648176892902911,0.07738055000000002,667.0
101,Bi(ScIn)O3-PT,0.5,0.5,0.9683489736412232,0.07729250000000001,687.0
102,BiMnO3-PT,0.05,0.95,1.0242245174739641,0.07728575000000001,764.298
103,BiMnO3-PT,0.1,0.9,1.0212453221245041,0.07874650000000001,747.437
104,BiMnO3-PT,0.149,0.851,1.0183257106820334,0.08017803500000001,744.13
105,BiMnO3-PT,0.201,0.7989999999999999,1.0152273475185947,0.081697215,724.953
106,BiMnO3-PT,0.25,0.75,1.012307736076124,0.08312875000000002,683.949
107,BiAlO3-PT,0.05,0.95,1.027047811337141,0.07637375,733.0
108,BiAlO3-PT,0.1,0.9,1.0268919098508578,0.07692250000000002,728.0
109,BiAlO3-PT,0.15,0.85,1.0267360083645745,0.07747125,723.0
110,Bi(ZnZr)O3-PT,0.1,0.9,1.0172911065718162,0.08277450000000001,781.933
111,Bi(ZnZr)O3-PT,0.2,0.8,1.0073785003202083,0.08972400000000003,762.84
112,Bi(ZnZr)O3-PT,0.3,0.7,0.9974658940686001,0.09667350000000001,670.972
113,Bi(MgZr)O3-PT,0.2,0.8,1.0082751937021477,0.07786800000000002,734.907
114,Bi(MgZr)O3-PT,0.349,0.651,0.9941734469567964,0.07939003500000001,629.206
115,Bi(MgZr)O3-PT,0.399,0.601,0.9894413171764773,0.07990078500000002,581.685
116,Bi(ScIn)O3-PT,0.35,0.65,0.9860053953958836,0.07685225000000001,743.0
117,Bi(ScIn)O3-PT,0.33199999999999996,0.668,0.9857483114662918,0.07744744400000002,762.0
118,Bi(ScIn)O3-PT,0.3114,0.6886,0.9881377197782235,0.077221359,784.0
119,Bi(ScIn)O3-PT,0.28049999999999997,0.7195,0.9917223596163867,0.07688223150000001,804.0
