,Ferroelectric_Tc_in_Kelvin,Tolerance_Factor,Ionic_Displacements
122,773.0,0.98889253667303,0.0767055
123,741.0,0.9807710676082232,0.07747375
124,776.0,0.9886946621200838,0.077639005
125,778.0,0.994315468033378,0.0780226625
126,750.0,0.9898759276548806,0.078443005
127,728.0,0.9854481305600228,0.07886225
128,718.0,0.9831299569345018,0.07908175
129,798.0,1.0056693661583789,0.07714835
130,728.0,0.9841812468084437,0.08390556
131,898.0,1.0161615354968698,0.08901328
